//CSV contenant les positions et les vitesses de N=10 particules évoluant dans un espace infini durant T=1000 tours.
//Chaque particule est décrite à chaque tour par sa position x et y et sa vitesse vx et vy (ex pour la particule 0 : x0,y0,vx0,vy0).

Tour,x0,y0,vx0,vy0,x1,y1,vx1,vy1,x2,y2,vx2,vy2,x3,y3,vx3,vy3,x4,y4,vx4,vy4,x5,y5,vx5,vy5,x6,y6,vx6,vy6,x7,y7,vx7,vy7,x8,y8,vx8,vy8,x9,y9,vx9,vy9
400,-4018.00,-66.99,-10.00,0.00,3626.01,737.99,9.00,2.00,-757.76,2759.02,-2.00,7.00,-4014.00,4011.00,-10.00,10.00,2716.59,-73.81,7.00,0.00,2057.00,-430.00,5.00,-1.00,480.22,-1551.95,1.12,-3.88,4072.00,344.00,10.00,1.00,-3673.00,4073.00,-9.00,10.00,462.02,-2044.04,1.00,-5.00
410,-4118.00,-66.99,-10.00,0.00,3716.01,757.99,9.00,2.00,-777.77,2829.04,-2.00,7.00,-4114.00,4111.00,-10.00,10.00,2786.58,-73.81,7.00,0.00,2107.00,-440.00,5.00,-1.00,491.40,-1590.71,1.12,-3.88,4172.00,354.00,10.00,1.00,-3763.00,4173.00,-9.00,10.00,472.02,-2094.04,1.00,-5.00
420,-4218.00,-66.99,-10.00,0.00,3806.01,777.99,9.00,2.00,-797.79,2899.07,-2.00,7.00,-4214.00,4211.00,-10.00,10.00,2856.57,-73.80,7.00,0.00,2157.00,-450.00,5.00,-1.00,502.59,-1629.48,1.12,-3.88,4272.00,364.00,10.00,1.00,-3853.00,4273.00,-9.00,10.00,482.02,-2144.04,1.00,-5.00
430,-4318.00,-66.99,-10.00,0.00,3896.01,797.99,9.00,2.00,-817.81,2969.10,-2.00,7.00,-4314.00,4311.00,-10.00,10.00,2926.56,-73.80,7.00,0.00,2207.00,-460.00,5.00,-1.00,513.78,-1668.24,1.12,-3.88,4372.00,374.00,10.00,1.00,-3943.00,4373.00,-9.00,10.00,492.02,-2194.04,1.00,-5.00
440,-4418.00,-66.99,-10.00,0.00,3986.01,817.99,9.00,2.00,-837.83,3039.12,-2.00,7.00,-4414.00,4411.00,-10.00,10.00,2996.55,-73.79,7.00,0.00,2257.00,-470.00,5.00,-1.00,524.96,-1707.01,1.12,-3.88,4472.00,384.00,10.00,1.00,-4033.00,4473.00,-9.00,10.00,502.02,-2244.04,1.00,-5.00
450,-4518.00,-66.99,-10.00,0.00,4076.01,837.99,9.00,2.00,-857.85,3109.15,-2.00,7.00,-4514.00,4511.00,-10.00,10.00,3066.54,-73.79,7.00,0.00,2307.00,-480.00,5.00,-1.00,536.15,-1745.77,1.12,-3.88,4572.00,394.00,10.00,1.00,-4123.00,4573.00,-9.00,10.00,512.02,-2294.04,1.00,-5.00
460,-4618.00,-66.99,-10.00,0.00,4166.01,857.99,9.00,2.00,-877.87,3179.17,-2.00,7.00,-4614.00,4611.00,-10.00,10.00,3136.53,-73.79,7.00,0.00,2357.00,-490.00,5.00,-1.00,547.34,-1784.54,1.12,-3.88,4672.00,404.00,10.00,1.00,-4213.00,4673.00,-9.00,10.00,522.03,-2344.04,1.00,-5.00
470,-4718.00,-66.99,-10.00,0.00,4256.01,877.99,9.00,2.00,-897.89,3249.20,-2.00,7.00,-4714.00,4711.00,-10.00,10.00,3206.52,-73.78,7.00,0.00,2407.00,-500.00,5.00,-1.00,558.52,-1823.30,1.12,-3.88,4772.00,414.00,10.00,1.00,-4303.00,4773.00,-9.00,10.00,532.03,-2394.04,1.00,-5.00
480,-4818.00,-66.99,-10.00,0.00,4346.01,897.99,9.00,2.00,-917.91,3319.22,-2.00,7.00,-4814.00,4811.00,-10.00,10.00,3276.50,-73.78,7.00,0.00,2457.00,-510.00,5.00,-1.00,569.71,-1862.07,1.12,-3.88,4872.00,424.00,10.00,1.00,-4393.00,4873.00,-9.00,10.00,542.03,-2444.04,1.00,-5.00
490,-4918.00,-66.99,-10.00,0.00,4436.01,917.99,9.00,2.00,-937.93,3389.25,-2.00,7.00,-4914.00,4911.00,-10.00,10.00,3346.49,-73.77,7.00,0.00,2507.00,-520.00,5.00,-1.00,580.90,-1900.83,1.12,-3.88,4972.00,434.00,10.00,1.00,-4483.00,4973.00,-9.00,10.00,552.03,-2494.04,1.00,-5.00
