//////////////////////////////////////////////////////
// Potentiel de Lenard-Jones.
// Simulation de N = 100 particules pendant T = 10000 tours.
// Ce CSV contient 1000 tours sur les 10000.
// Les constantes sont normalisées ; espilon = 1, sigma = 1, m = 1.
// Description des colonnes : particule_i,x,y,vx,vy,ax,ay
//////////////////////////////////////////////////////
###### Tour 0 ######
45,15.87,-3.94,-162821599.62,268816264.92,-32592556897.85,53950986447.64
46,-4.68,18.80,-41593.75,39221.00,-1664052.58,1562953.33
47,-0.10,-3.01,-0.95,-0.16,1.76,-3.28
48,17.55,14.20,1196567293659.39,2635431434393.70,79771152907868.12,175695428930805.25
49,-2.09,3.98,-0.57,-0.50,8.76,-10.77
50,-4.86,4.31,-105710.47,310760.69,-7046418.84,20710998.38
51,1.09,8.10,5.95,1.01,281.89,-1.21
52,4.10,-5.10,1.06,-0.95,1.43,1.85
53,5.91,-9.88,-0.57,1.56,8.21,12.25
54,4.29,9.00,10.56,-0.80,250.92,-81.87
55,-5.09,8.00,-1.47,-0.83,-33.29,-47.63
56,-10.18,-10.58,-76776616492.05,-292664620180.25,-3071064637817.93,-11706584803933.61
57,6.00,-5.10,0.09,-0.93,1.87,1.21
58,3.23,-9.00,4797820.73,-5975439.07,957182169.20,-1190323591.62
59,19.70,-16.30,3681531.75,-646373.15,245426264.14,-43090845.76
60,-9.99,6.52,-61.45,232.16,-12093.59,40895.34
61,1.83,8.10,-11.91,1.14,-912.61,10.27
62,-8.90,2.10,1.05,0.94,1.44,-1.73
63,10.02,1.73,109815688.60,23700137.36,4392625683.88,948001069.61
64,-10.29,2.48,133929.28,-14342.65,26784675.50,-2786827.46
65,2.11,5.12,1.45,1.57,8.41,7.35
66,3.73,-9.95,254385609557125.69,8337736914509.46,50877121911319944.00,1667547382902330.25
67,2.96,6.20,-186585444.05,226953001.10,-37317036137.88,45390594790.99
68,-7.00,7.81,-23924.82,547736.70,-1562674.82,36766693.59
69,8.00,17.12,3131100034068830720.00,37699241604971112.00,125244001362753208320.00,1507969664198844672.00
70,-17.53,18.38,-247067.91,1642587.47,-7058905.97,46928046.25
71,-5.81,-8.92,-1435.48,1613.75,-288720.96,322643.45
72,-7.02,4.89,-0.48,-1.39,-9.44,-6.85
73,-5.16,-13.57,-379773.90,-54730.48,-10682707.03,-1747963.58
74,-9.02,-7.12,-0.53,-1.42,-10.22,-4.77
75,-3.97,-0.09,-763156828670325.00,-25013210743531.93,-50877121911319944.00,-1667547382902349.50
76,8.90,-4.10,-0.98,-1.06,-0.86,-0.99
77,-17.40,0.48,-6135134.10,1077637.09,-245294192.03,43162129.38
78,2.12,-6.00,720.99,-642.41,32211.65,-21006.06
79,5.90,1.10,-0.83,1.15,40.80,41.95
80,9.12,-8.02,1.70,-0.72,16.93,-15.76
81,-19.69,4.39,-587273.00,528165.73,-39148888.07,35201529.85
82,-4.19,4.09,-25.30,-1.70,-3011.91,-347.72
83,4.03,-1.09,0.96,-0.91,17.36,-1.33
84,-3.00,5.14,0.06,2.17,1.12,22.10
85,8.10,4.31,-0.60,44.47,-133.09,2940.42
86,-17.78,15.33,-686.06,546.72,-18759.32,15788.67
87,7.88,5.98,-1.54,-0.45,-9.60,-5.27
88,-6.94,-7.90,-0.32,1.07,-26.26,5.54
89,3.02,-7.11,-2.48,36.87,-568.12,7397.06
90,10.96,-14.24,1033414113.59,-297163110.26,68856764296.15,-19742623235.09
91,-4.35,3.90,-1111.82,4748.53,-229294.03,949136.34
92,-2.12,-0.08,-1.46,-0.63,-7.04,-0.71
93,-2.62,1.40,-377.07,221.52,-15037.54,9127.92
94,0.98,5.92,-0.51,-0.40,-11.19,12.01
95,5.49,-8.59,488994236.40,-809968719.70,32599615820.40,-53997914527.62
96,-0.73,-15.20,-1994293841084.31,-4392367318000.05,-79774157115442.98,-175691749878092.25
97,2.90,0.04,-317.87,469.61,-63378.72,93724.27
98,-9.96,-5.00,1.18,0.16,24.20,4.17
99,14.31,-4.55,176174.57,-517870.96,7046294.42,-20710945.34
###### Tour 20 ######
0,15.38,-8.35,13575857.28,-7420129.68,334943309.79,-137276878.16
1,12.28,-15.67,-125959796346.10,-159272476850.52,-25192189005397.59,-31853549626941.48
2,-12.83,11.57,-17374119064.92,146246093950.21,-232553286530.30,1950782144320.11
3,7.88,7.90,471061848000.54,913000997589.36,18846542682091.98,36504398506386.66
4,4.05,-1.84,3405774581501.68,-303381452399.30,35850258350510.86,-3193488476397.34
5,15.78,-5.65,150874.15,-67840.76,3439819.43,-867366.69
6,14.31,-7.60,11474200.59,-5745095.68,136836243.61,-97154712.33
7,10.22,-12.30,5422.95,-1100.75,98496.06,-20209.72
8,17.52,-2.20,2131933648.42,-2222876094.84,32826775867.20,-34215917021.48
9,15.37,-4.53,56078196.58,-441729287.42,1019603576.44,-8031441594.28
10,6.68,2.00,8841662.64,23207341.60,147288597.42,284859440.96
11,-6.40,5.35,-10921227.13,19416692.48,-145648330.89,269849182.38
12,-6.16,-8.37,-3096814453.71,-1176790553.28,-86419864263.42,-32785569449.28
13,-18.72,-3.57,-143346684399309.41,-6839695423434.89,-1686431573784381.00,-80467013981500.16
14,-5.16,19.26,-22220190.37,57124639.85,-403301112.49,1038496799.46
15,18.62,-3.66,107657.24,-235301.62,930635.52,-2049426.89
