//////////////////////////////////////////////////////
// Potentiel de Lenard-Jones dans une boîte périodique 20 x 20.
// Simulation de N = 100 particules pendant T = 1000 tours.
// Ce CSV contient 1000 tours sur les 1000.
// Constantes : sigma^2 = 10, espilon = 1, m = 1.
// Description des colonnes : particule_i,x,y,vx,vy,ax,ay
//////////////////////////////////////////////////////
###### Tour 0 ######
25,3.93,1.93,-25135.22,-1123.80,-487788766.78,-7553738.23
26,-10.00,6.80,6.04,71909.05,72145.93,478569481.96
27,3.89,-6.96,-49624.99,-23453.65,-970089880.19,-476512732.86
28,2.16,-4.96,-72537.61,24552.79,-483614444.12,483594130.46
29,-10.76,-8.04,-47497.16,23464.66,1978562.65,476683370.21
30,-3.84,3.96,-72553.97,-571.05,-484069559.19,-3779944.50
31,5.76,-0.04,-6144000000146052850802715709002112833089307404140544.00,-3072000000080186312000653303850452773274853778128896.00,-122880000002921048338853957696111438345733658572721487872.00,-61440000001603725878463051223511938035661555166324195328.00
32,0.13,2.20,-73083.78,-71999.36,-487160704.94,-480411419.37
33,-1.00,-10.00,-23955.85,3.89,-479136576.69,96469.30
34,1.85,3.20,-3072000000080796427650718580236115620715522456289280.00,-6144000000147950988380696568868619469571387736195072.00,-61440000001615921598493497658042465381591909739022778368.00,-122880000002959007517448722223587704709941887180245827584.00
35,3.04,-1.24,550.77,71382.87,3702878.30,475478505.50
36,-9.11,-2.17,-25711.64,96485.46,-491874450.48,962726915.38
37,-4.00,-9.92,24022.75,1128.01,480443877.24,7550097.43
38,9.76,-3.76,-6144000000186145025611580341560637461641483157241856.00,-3072000000093072512805790170780318730820741578620928.00,-122880000003722895152784327826431949684679596094487789568.00,-61440000001861447576392163913215974842339798047243894784.00
39,-1.80,-8.72,-48007.83,-70843.06,-589317.19,-472249234.48
40,-6.92,2.92,25118.51,-1038.75,487292096.76,-5750729.07
41,-4.92,2.00,1218.07,124.97,9299599.62,2400428.12
42,5.80,-7.80,71989.59,-47867.65,480282752.59,2011217.20
43,-6.96,0.24,564.61,-71415.03,3755650.51,-476101689.48
44,2.17,-3.16,-228881835944434387489350212359956245726413157564416.00,228881835944434387489350212359956245726413157564416.00,-4577636718888687563695084837310902707995274712040079360.00,4577636718888687563695084837310902707995274712040079360.00
45,3.00,-4.93,-7.32,1154.26,-153278.82,8108964.90
46,0.13,-1.93,-97137.05,1125.10,-968283666.43,7571602.79
47,-2.17,8.04,72493.02,555.57,482878110.57,3665622.41
48,-7.83,6.96,-72449.14,-547.26,-482261420.98,-3259727.23
49,4.20,-10.80,-1875000000056806502312756939652761564990776586767695872.00,1875000000056806502312756939652761564990776586767695872.00,-37500000001136128521790134987250914983897290441032330117120.00,37500000001136128521790134987250914983897290441032330117120.00
50,3.96,10.76,-535.88,71463.41,-3255566.98,477232349.08
51,1.83,-0.04,48481.15,23464.45,2642629.56,476648711.75
52,-4.96,-0.84,555.75,-72537.51,3777306.76,-483578338.30
53,-7.93,-9.93,1121.41,1122.45,7476334.24,7482739.65
54,4.80,-3.92,72005.20,1128.85,480447555.04,7490260.64
55,-7.04,0.96,-549.24,-555.35,-3663875.40,-3696697.46
